"id","Дата рождения","активность","пол","фамилия","имя","Последняя авторизация","должность","цфо","Дата регистрации","Дата изменения","подразделения","E-Mail","логин","компания","Город проживания"
1070,"",Нет,"","","","30.04.2021 10:19:39",Руководитель направления,DAR,"","",. . Департамент аналитических решений,"","","",""
1071,"",Нет,"","","","19.11.2020 22:33:28",Системный аналитик,DAR,"","",. . . . Направление DWH&ML,"","","",""
1072,"",Да,"","","","07.11.2023 11:22:10",Аналитик,DAR,"","",. . . . . . Бизнес-аналитика. Общая практика,"","","",""
1076,"",Да,"","","","10.01.2024 11:55:49",старший системный аналитик,DAR,"","",. . . . . . Группа СА РЖД,"","","",""
1077,"",Да,"","","","02.06.2020 11:44:04",Разработчик,DAR,"","",. . . . Направление DWH&ML,"","","",""
1117,"",Нет,"","","","06.12.2022 13:14:30",Ведущий разработчик,DAR,"","",. . . . Направление DWH&ML,"","","",""
1137,"",Нет,"","","","13.08.2019 10:11:54",Бизнес-аналитик,DAR,"","",. . . . Направление DG&DQ,"","","",""
1161,"",Нет,"","","","03.05.2018 09:34:37",Младший консультант,DAR,"","",. . . . Направление DWH&ML,"","","",""
1163,"",Да,"","","","11.01.2024 12:46:27",Старший финансовый специалист,DAR,"","",. . . Административно-финансовая служба,"","","",""
1207,"",Нет,"","","","15.12.2020 00:10:28",Бизнес-аналитик,DAR,"","",. . . . Направление DG&DQ,"","","",""
1209,"",Нет,"","","","14.02.2022 16:22:03",Старший консультант,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
1212,"",Нет,"","","","01.10.2019 12:03:29",Бизнес-аналитик,DAR,"","",. . . . . . Microsoft: Центр компетенций,"","","",""
1235,"",Нет,"","","","15.01.2020 17:42:20",Младший консультант,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
1267,"",Нет,"","","","04.03.2022 13:31:46",Бизнес-аналитик,DAR,"","",. . . . Направление BI,"","","",""
1283,"",Да,"","","","10.01.2024 18:35:56",Старший руководитель проектов,DAR,"","",. . . . . Группа Центров Компетенций 2,"","","",""
1289,"",Да,"","","","27.12.2022 20:32:45",Бизнес эксперт,DAR,"","",". . . Sales, Marketing & Business Development / SMBD","","","",""
1335,"",Да,"","","","10.01.2024 14:25:01",Дизайнер,DAR,"","",. . . . . Группа Центров Компетенций 2,"","","",""
1370,"",Да,"","","","28.11.2023 13:41:29",Младший консультант,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
1387,"",Да,"","","","27.11.2023 11:41:15",Руководитель направления Ценообразование,DAR,"","",. . . . KeepRise,"","","",""
1411,"",Да,"","","","11.01.2024 17:04:12",Специалист по внутренним коммуникациям и проектам,DAR,"","",. . . Группа управления персоналом,"","","",""
1412,"",Нет,"","","","12.04.2023 11:33:34",старший системный аналитик,DAR,"","",. . . . Направление DWH&ML,"","","",""
1429,"",Да,"","","","27.12.2023 11:57:41",Архитектор UI/UX,DAR,"","",. . . . . Группа Центров Компетенций,"","","",""
1431,"",Нет,"","","","31.08.2023 13:43:42",Старший консультант,DAR,"","",. . . . . Data Platform: Центр компетенций,"","","",""
1457,"",Нет,"","","","24.04.2020 12:20:26",Разработчик,DAR,"","",. . . . . . Microsoft: Центр компетенций,"","","",""
1459,"",Нет,"","","","12.12.2023 08:58:56",Системный архитектор,DAR,"","",. . . . . Data Platform: Центр компетенций,"","","",""
1475,"",Нет,"","","","30.04.2021 12:34:38",Специалист по машинному обучению,DAR,"","",. . . . Направление DWH&ML,"","","",""
1479,"",Нет,"","","","08.02.2019 10:31:45",Менеджер по работе с корпоративными клиентами,DAR,"","",. . Департамент аналитических решений,"","","",""
1503,"",Да,"","","","12.01.2024 11:11:38",Старший аналитик,DAR,"","",. . . . . . Бизнес-аналитика. Общая практика,"","","",""
1504,"",Нет,"","","","08.09.2019 15:56:12",Младший консультант,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
