"название","активность","Сорт.","Дата изм.","id"
Другое,Да,1000,"31.10.2023 17:27:10",303534
Китайский,Да,500,"17.07.2019 10:31:44",76381
Французский,Да,500,"17.07.2019 10:31:34",76380
Испанский,Да,500,"17.07.2019 10:31:23",76379
Немецкий,Да,500,"17.07.2019 10:31:12",76378
Английский,Да,500,"17.07.2019 10:31:00",76377
