"название","активность","Сорт.","Дата изм.","id"
A1 – elementary,Да,500,"21.10.2020 13:17:54",115775
A2 - pre-intermediate,Да,500,"21.10.2020 13:17:54",115776
B1 – intermediate,Да,500,"21.10.2020 13:17:54",115777
B2 - upper intermediate,Да,500,"21.10.2020 13:17:54",115778
C1 – advanced,Да,500,"21.10.2020 13:17:54",115779
C2 - proficiency,Да,500,"21.10.2020 13:17:54",115780
