"название","активность","Сорт.","Дата изм.","id"
Я знаю предметную область,Да,500,"21.10.2020 13:17:54",115761
Я знаю все особенности предметной области и могу переложить это на систему,Да,500,"21.10.2020 13:17:54",115762
"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать",Да,500,"21.10.2020 13:17:54",115763
