"название","активность","Сорт.","Дата изм.","id"
ERP (Enterprice Resource Planning),Да,500,"21.10.2020 13:17:53",115642
CPM (Corporate Performance Management),Да,500,"21.10.2020 13:17:53",115643
BI (Business Intelligence),Да,500,"21.10.2020 13:17:53",115644
BPM (Business Process Management),Да,500,"21.10.2020 13:17:53",115645
SCM (Supply Chain Management),Да,500,"21.10.2020 13:17:53",115646
CRM (Customer Relationship Management),Да,500,"21.10.2020 13:17:53",115647
СЭД (Система электронного документооборота),Да,500,"21.10.2020 13:17:53",115648
Другое,Да,500,"21.10.2020 13:17:53",115649
